step,action,reward,observation
1,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
2,{'prt_ooo_threshold': 12},0.8024211749000285,[0.0]
3,{'prt_ooo_threshold': 11},0.7601569170094469,[0.001]
4,{'prt_ooo_threshold': 89},0.7105828314407662,[0.001]
5,{'prt_ooo_threshold': 71},0.7363686807383779,[0.001]
6,{'prt_ooo_threshold': 11},0.7601569170094469,[0.001]
7,{'prt_ooo_threshold': 91},0.7105828314407662,[0.001]
8,{'prt_ooo_threshold': 4},0.7446478541230904,[0.0]
9,{'prt_ooo_threshold': 47},0.747603703795973,[0.001]
10,{'prt_ooo_threshold': 110},0.7927656881869853,[0.0]
11,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
12,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
13,{'prt_ooo_threshold': 32},0.7878691204123646,[0.0]
14,{'prt_ooo_threshold': 30},0.7949306454757942,[0.0]
15,{'prt_ooo_threshold': 41},0.7391367247049493,[0.0]
16,{'prt_ooo_threshold': 83},0.7105828314407662,[0.001]
17,{'prt_ooo_threshold': 72},0.7371945069806919,[0.001]
18,{'prt_ooo_threshold': 31},0.7611110444453804,[0.001]
19,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
20,{'prt_ooo_threshold': 30},0.7465944061800595,[0.001]
21,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
22,{'prt_ooo_threshold': 110},0.7927656881869853,[0.0]
23,{'prt_ooo_threshold': 120},0.7105828314407662,[0.001]
24,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
25,{'prt_ooo_threshold': 67},0.7225134085026897,[0.001]
26,{'prt_ooo_threshold': 39},0.7647885061987121,[0.0]
27,{'prt_ooo_threshold': 28},0.7166398509825885,[0.001]
28,{'prt_ooo_threshold': 26},0.8088798630584494,[0.0]
29,{'prt_ooo_threshold': 51},0.7512463707080955,[0.001]
30,{'prt_ooo_threshold': 97},0.7105828314407662,[0.001]
31,{'prt_ooo_threshold': 60},0.7545267180860872,[0.0]
32,{'prt_ooo_threshold': 41},0.7595472905439427,[0.001]
33,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
34,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
35,{'prt_ooo_threshold': 45},0.7849624876468967,[0.0]
36,{'prt_ooo_threshold': 120},0.7105828314407662,[0.001]
37,{'prt_ooo_threshold': 52},0.7543728041856235,[0.001]
38,{'prt_ooo_threshold': 25},0.7382124998361165,[0.0]
39,{'prt_ooo_threshold': 4},0.7446478541230904,[0.0]
40,{'prt_ooo_threshold': 120},0.7105828314407662,[0.001]
41,{'prt_ooo_threshold': 111},0.7991208736435081,[0.0]
42,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
43,{'prt_ooo_threshold': 69},0.7476548893506276,[0.001]
44,{'prt_ooo_threshold': 92},0.7988472365584042,[0.0]
45,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
46,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
47,{'prt_ooo_threshold': 57},0.7409757827922152,[0.001]
48,{'prt_ooo_threshold': 39},0.7647885061987121,[0.0]
49,{'prt_ooo_threshold': 95},0.7929668532686631,[0.0]
50,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
51,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
52,{'prt_ooo_threshold': 35},0.7709560065527571,[0.001]
53,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
54,{'prt_ooo_threshold': 18},0.8395112107648578,[0.0]
55,{'prt_ooo_threshold': 52},0.7970108668293884,[0.0]
56,{'prt_ooo_threshold': 101},0.7990918214560744,[0.0]
57,{'prt_ooo_threshold': 5},0.7066766761493647,[0.001]
58,{'prt_ooo_threshold': 5},0.7066766761493647,[0.001]
59,{'prt_ooo_threshold': 76},0.7974102550684553,[0.0]
60,{'prt_ooo_threshold': 9},0.7952043310073703,[0.0]
61,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
62,{'prt_ooo_threshold': 54},0.6869839020264261,[0.001]
63,{'prt_ooo_threshold': 84},0.7105828314407662,[0.001]
64,{'prt_ooo_threshold': 43},0.7739829331998062,[0.0]
65,{'prt_ooo_threshold': 52},0.7543728041856235,[0.001]
66,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
67,{'prt_ooo_threshold': 111},0.7105828314407662,[0.001]
68,{'prt_ooo_threshold': 35},0.7709560065527571,[0.001]
69,{'prt_ooo_threshold': 73},0.7371945069806919,[0.001]
70,{'prt_ooo_threshold': 100},0.7991309986153886,[0.0]
71,{'prt_ooo_threshold': 73},0.7988309601615694,[0.0]
72,{'prt_ooo_threshold': 120},0.7992621298250712,[0.0]
73,{'prt_ooo_threshold': 96},0.7929668532686631,[0.0]
74,{'prt_ooo_threshold': 49},0.7876488971040755,[0.001]
75,{'prt_ooo_threshold': 74},0.7989817950147642,[0.0]
76,{'prt_ooo_threshold': 68},0.7087021286431116,[0.001]
77,{'prt_ooo_threshold': 68},0.7087021286431116,[0.001]
78,{'prt_ooo_threshold': 0},0.7035878282368465,[0.0]
79,{'prt_ooo_threshold': 1},0.7319235603275294,[0.0]
80,{'prt_ooo_threshold': 0},0.6976260882079742,[0.001]
